46,Florin,Andone,4,4,36,Joined Galatasaray on loan until the end of the season on 2/9. - Expected back 01 Aug,2019-08-24T16:30:09.164349Z,,Andone,93284.jpg,n,93284
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
47,Mathew,Ryan,1,4,36,,,,Ryan,131897.jpg,a,131897
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
48,David,Button,1,4,36,,,,Button,50093.jpg,a,50093
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
49,Pascal,Groß,3,4,36,,,,Groß,60307.jpg,a,60307
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
50,Alireza,Jahanbakhsh,3,4,36,,2020-07-18T13:30:18.589471Z,,Jahanbakhsh,165210.jpg,a,165210
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
51,José Heriberto,Izquierdo Mena,3,4,36,Knee injury - Unknown return date,2019-06-25T11:30:06.929510Z,,Izquierdo,167473.jpg,i,167473
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
52,Anthony,Knockaert,3,4,36,Joined Fulham on loan until the end of the season on 21/7. - Expected back 01 Aug,2019-07-21T20:00:14.555249Z,,Knockaert,83543.jpg,n,83543
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
53,Yves,Bissouma,3,4,36,,2019-06-25T11:30:06.944296Z,,Bissouma,227127.jpg,a,227127
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
54,Davy,Pröpper,3,4,36,,2020-07-02T13:30:15.122515Z,,Pröpper,66242.jpg,a,66242
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
55,Solomon,March,3,4,36,,2019-11-28T14:00:24.105131Z,,March,109345.jpg,a,109345
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
56,Beram,Kayal,3,4,36,,2019-08-08T22:00:09.076501Z,,Kayal,38490.jpg,a,38490
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
57,Dale,Stephens,3,4,36,,2020-02-08T17:30:21.605491Z,,Stephens,40845.jpg,a,40845
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
421,Leandro,Trossard,3,4,36,,2019-11-16T11:00:16.932007Z,,Trossard,116216.jpg,a,116216
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
475,Dan,Burn,2,4,36,,2020-01-01T14:30:13.406599Z,,Burn,78916.jpg,a,78916
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
493,Adam,Webster,2,4,36,,2020-07-18T13:30:19.627818Z,,Webster,110735.jpg,a,110735
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
502,Neal,Maupay,4,4,36,,,,Maupay,115382.jpg,a,115382
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
516,Aaron,Mooy,3,4,36,,2020-01-09T14:00:18.516961Z,,Mooy,74471.jpg,a,74471
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
534,Aaron,Connolly,4,4,36,,2020-03-20T16:00:27.160405Z,,Connolly,233425.jpg,a,233425
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
536,Tudor,Baluta,2,4,36,Joined ADO Den Haag on loan until the end of the season on 17/1. - Expected back 01 Aug,2020-01-17T11:00:15.294241Z,,Baluta,213056.jpg,n,213056
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
537,Steven,Alzate,3,4,36,Groin Injury - Unknown return date,2020-07-14T13:00:24.499515Z,,Alzate,235382.jpg,i,235382
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
546,Ezequiel,Schelotto,2,4,36,,,,Schelotto,74375.jpg,a,74375
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
586,Tariq,Lamptey,2,4,36,,,,Lamptey,232792.jpg,a,232792
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
627,Alexis,Mac Allister,3,4,36,,,,Mac Allister,243016.jpg,a,243016
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
666,Alex,Cochrane,2,4,36,,,,Cochrane,215066.jpg,a,215066
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
83,Ben,Mee,2,5,90,Thigh injury - Unknown return date,2020-07-05T13:00:17.289335Z,,Mee,51927.jpg,i,51927
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
84,James,Tarkowski,2,5,90,,2019-08-03T18:30:13.047591Z,,Tarkowski,17761.jpg,a,17761
